Date,Day,High Temp (°F),Low Temp (°F),Precipitation,Brooklyn Bridge,Manhattan Bridge,Williamsburg Bridge,Queensboro Bridge,Total
4/1,Saturday,46.0,37,0.00,606,1446,1915,1430,5397
4/2,Sunday,62.1,41,0.00,2021,3943,4207,2862,13033
4/3,Monday,63.0,50,0.03,2470,4988,5178,3689,16325
4/4,Tuesday,51.1,46,1.18,723,1913,2279,1666,6581
4/5,Wednesday,63.0,46,0.00,2807,5276,5711,4197,17991
4/6,Thursday,48.9,41,0.73,461,1324,1739,1372,4896
4/7,Friday,48.0,43,T,1,222,2955,3399,2765,10341
4/8,Saturday,55.9,39.9,0.00,1674,3163,4082,2691,11610
4/9,Sunday,66.0,45,0.00,2375,4377,4886,3261,14899
4/10,Monday,73.9,55,0.00,3324,6359,6881,4731,21295
4/11,Tuesday,80.1,62.1,0.00,3887,7247,8079,5501,24714
4/12,Wednesday,73.9,57.9,0.02,2565,5633,6620,4537,19355
4/13,Thursday,64.0,48.9,0.00,3353,6052,6775,4700,20880
4/14,Friday,64.9,48.9,0.00,2942,5054,5877,4142,18015
4/15,Saturday,64.9,52,0.00,2253,3853,4965,3291,14362
4/16,Sunday,84.9,62.1,T,2877,4585,5259,3687,16408
4/17,Monday,73.9,64,T,3152,6352,6924,4658,21086
4/18,Tuesday,66.0,50,0.00,3415,6691,7341,5012,22459
4/19,Wednesday,52.0,45,T,1965,4632,5234,3996,15827
4/20,Thursday,64.9,50,0.17,1567,3365,4302,3056,12290
4/21,Friday,53.1,48,0.29,1426,3142,3674,2672,10914
4/22,Saturday,55.9,52,0.11,1318,2297,2963,2366,8944
4/23,Sunday,64.9,46.9,0.00,2520,4681,5105,3434,15740
4/24,Monday,60.1,50,T,2544,5366,5762,4183,17855
4/25,Tuesday,54.0,50,0.91,611,1402,1902,1578,5493
4/26,Wednesday,59.0,54,0.34,1247,2774,3429,2369,9819
4/27,Thursday,68.0,59,0.00,2959,5311,6026,4285,18581
4/28,Friday,82.9,57.9,0.00,3679,6774,7196,5138,22787
4/29,Saturday,84.0,64,0.06,3315,5605,6045,4078,19043
4/30,Sunday,64.0,54,0.00,2225,4057,4513,3137,13932
