the_geom,SITE_ID,CD,Borough,BBL,House__,Street_Nam,Street_On,From_Stree,To_Street,Side_of_St,Asset_Type,Latitude,Longitude
POINT (-73.97851 40.68679),18941,,Brooklyn,,15,LAFAYETTE AV,LAFAYETTE AV,FLATBUSH AV,ASHLAND PL,,Bike Rack,40.68679,-73.97851
POINT (-73.97851 40.68679),18940,,Brooklyn,,15,LAFAYETTE AV,LAFAYETTE AV,FLATBUSH AV,ASHLAND PL,,Bike Rack,40.68679,-73.97851
POINT (-73.97851 40.68679),18939,,Brooklyn,,15,LAFAYETTE AV,LAFAYETTE AV,FLATBUSH AV,ASHLAND PL,,Bike Rack,40.68679,-73.97851
POINT (-73.978633 40.684012),18658,,Brooklyn,,24,4 AV,4 AV,ATLANTIC AV,PACIFIC ST,,Bike Rack,40.684012,-73.978633
POINT (-73.975805 40.687072),18995,,Brooklyn,,65,LAFAYETTE AV,LAFAYETTE AV,S ELLIOTT PL,FORT GREENE PL,,Bike Rack,40.687072,-73.975805
POINT (-73.955151 40.720247),19421,,Brooklyn,,104,BEDFORD AV,BEDFORD AV,N 12 ST,n 11 st,,Bike Rack,40.720247,-73.955151
POINT (-73.955151 40.720247),19420,,Brooklyn,,104,BEDFORD AV,BEDFORD AV,N 12 ST,n 11 st,,Bike Rack,40.720247,-73.955151
POINT (-73.955151 40.720247),19419,,Brooklyn,,104,BEDFORD AV,BEDFORD AV,N 12 ST,n 11 st,,Bike Rack,40.720247,-73.955151
POINT (-73.972513 40.652009),11709,,Brooklyn,,251,PROSPECT PK SW,PROSPECT PK SW,parkside av,greenwood av,W,Bike Rack,40.652009,-73.972513
POINT (-73.995007 40.680009),10465,,Brooklyn,,349,SMITH ST,SMITH ST,1 PL,CARROLL ST,W,Bike Rack,40.680009,-73.995007
POINT (-73.960992 40.67695),14017,,Brooklyn,,422,ST MARKS AV,ST MARKS AV,GRAND AV,CLASSON AV,,Bike Rack,40.67695,-73.960992
POINT (-73.988756 40.670289),16889,,Brooklyn,,437,4 AV,4 AV,9 ST,10 ST,,Bike Rack,40.670289,-73.988756
POINT (-73.986245 40.680253),18936,,Brooklyn,,534,DE GRAW ST,DE GRAW ST,3 AV,NEVINS ST,,Bike Rack,40.680253,-73.986245
POINT (-73.986245 40.680253),18935,,Brooklyn,,534,DE GRAW ST,DE GRAW ST,3 AV,NEVINS ST,,Bike Rack,40.680253,-73.986245
POINT (-73.977731 40.66504),44253,,Brooklyn,,649,9 ST,9 ST,prospect park west,8 av,,Bike Rack,40.66504,-73.977731
POINT (-73.979226 40.680732),17850,,Brooklyn,,660,WARREN ST,WARREN ST,5 AV,4 AV,,Bike Rack,40.680732,-73.979226
POINT (-73.956291 40.581952),46071,,Brooklyn,3087070075,10,BRIGHTON 11 ST,BRIGHTON 11 ST,NEPTUNE AV,BRIGHTON BEACH AV,,Bike Rack,40.581952,-73.956291
POINT (-73.956291 40.581952),46070,,Brooklyn,3087070075,10,BRIGHTON 11 ST,BRIGHTON 11 ST,NEPTUNE AV,BRIGHTON BEACH AV,,Bike Rack,40.581952,-73.956291
POINT (-73.950943 40.663492),44209,,Brooklyn,3013150042,1022,NOSTRAND AV,NOSTRAND AV,,,,Bike Rack,40.663492,-73.950943
POINT (-73.976369 40.654305),13180,,Brooklyn,,1079,PROSPECT AV,PROSPECT AV,TERRACE PL,VANDERBILT AV,W,Bike Rack,40.654305,-73.976369
POINT (-73.976369 40.654305),13179,,Brooklyn,,1079,PROSPECT AV,PROSPECT AV,TERRACE PL,VANDERBILT AV,W,Bike Rack,40.654305,-73.976369
POINT (-73.97067 40.697369),45151,,Brooklyn,3018720020,11,VANDERBILT AV,VANDERBILT AV,,,,Bike Rack,40.697369,-73.97067
POINT (-73.930515 40.668773),44243,,Brooklyn,3013910078,1133,EASTERN PY,EASTERN PY,,,,Bike Rack,40.668773,-73.930515
POINT (-73.987492 40.702461),44179,,Brooklyn,3000400001,141,FRONT ST,FRONT ST,PEARL ST,JAY ST,,Bike Rack,40.702461,-73.987492
POINT (-73.987189 40.70245),44181,,Brooklyn,3000400001,151,FRONT ST,FRONT ST,PEARL ST,JAY ST,,Bike Rack,40.70245,-73.987189
POINT (-73.987189 40.70245),44180,,Brooklyn,3000400001,151,FRONT ST,FRONT ST,PEARL ST,JAY ST,,Bike Rack,40.70245,-73.987189
POINT (-74.014363 40.677969),44204,,Brooklyn,3005750003,173,CONOVER ST,CONOVER ST,DIKEMAN ST,WOLCOTT ST,,Bike Rack,40.677969,-74.014363
POINT (-74.014363 40.677969),44203,,Brooklyn,3005750003,173,CONOVER ST,CONOVER ST,DIKEMAN ST,WOLCOTT ST,,Bike Rack,40.677969,-74.014363
POINT (-74.014363 40.677969),44202,,Brooklyn,3005750003,173,CONOVER ST,CONOVER ST,DIKEMAN ST,WOLCOTT ST,,Bike Rack,40.677969,-74.014363
