tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender
152978,02/22/2016 19:22:07,02/24/2016 13:51:46,250,Lafayette St & Jersey St,40.72456089,-73.99565293,3019,NYCBS Depot - DEL,40.716633,-73.981933,17943,Subscriber,1969,male
100569,12/17/2015 10:24:19,12/18/2015 14:20:29,417,Barclay St & Church St,40.71291224,-74.01020234,3019,NYCBS Depot - DEL,40.716633,-73.981933,22674,Subscriber,1989,male
226939,10/20/2015 07:24:44,10/22/2015 22:27:03,79,Franklin St & W Broadway,40.71911552,-74.00666661,3019,NYCBS Depot - DEL,40.716633,-73.981933,19427,Customer,,unknown
156,10/07/2015 10:15:43,10/07/2015 10:18:19,311,Norfolk St & Broome St,40.7172274,-73.98802084,3019,NYCBS Depot - DEL,40.716633,-73.981933,17628,Subscriber,1985,female
442403,11/06/2015 19:34:29,11/11/2015 22:27:52,445,E 10 St & Avenue A,40.72740794,-73.98142006,3019,NYCBS Depot - DEL,40.716633,-73.981933,16592,Customer,,unknown
1770,11/22/2015 15:24:19,11/22/2015 15:53:50,327,Vesey Pl & River Terrace,40.7153379,-74.01658354,3019,NYCBS Depot - DEL,40.716633,-73.981933,23076,Subscriber,1993,female
722,06/20/2016 06:17:05,06/20/2016 06:29:08,3236,W 42 St & Dyer Ave,40.7589848139963,-73.9937996864319,520,W 52 St & 5 Ave,40.75992262,-73.97648516,19242,Subscriber,1958,male
621,05/02/2016 08:43:32,05/02/2016 08:53:53,3236,W 42 St & Dyer Ave,40.7589848139963,-73.9937996864319,520,W 52 St & 5 Ave,40.75992262,-73.97648516,19196,Subscriber,1975,male
504,03/07/2016 06:39:00,03/07/2016 06:47:25,3236,W 42 St & Dyer Ave,40.7589848139963,-73.9937996864319,520,W 52 St & 5 Ave,40.75992262,-73.97648516,17121,Subscriber,1984,male
556,03/07/2016 06:59:41,03/07/2016 07:08:57,3236,W 42 St & Dyer Ave,40.7589848139963,-73.9937996864319,520,W 52 St & 5 Ave,40.75992262,-73.97648516,15323,Subscriber,1968,male
