MISC_ASSET_TYPE,MISC_ASSET_TYPE2,FACILITYID,LEGACYID,MATERIAL,LENGTH,NAME,RESPONSIBILITY,ROTATION,STATUS,PROJECT_NO,YR,OWNER,LOCATION,COMMENTS,GIS_ENTRY_STAGE,WARRANTYDATE,CONDITION,CONDITIONDATE,YTD_COST,LIFECYCLE_COST,CRE_DATE,MOD_DATE,Latitude,Longitude
0,Railway Crossing,1002017531,,,,Pine Road,,,,,,Surrey,,,,,,,,,20180510,20180510,49.196637,-122.896996
0,Railway Crossing,1001417966,,,,BNR @ CRESCENT RD,,,In Service,,,Surrey,,"SURREY 25%, BNR 75%: JUNIOR",,,,,,,20120710,20190502,49.053519,-122.878673
0,Railway Crossing,1000959791,,,,SRBC @ 106 AVE,,,In Service,,,,,PED XING,,,,,,,20081203,20190319,49.195422,-122.875039
0,Railway Crossing,1000959788,,,,CNR @ OLD YALE RD,,,In Service,,,,,MAINT UNKNOWN,,,,,,,20081203,20160120,49.204050,-122.892162
0,Railway Crossing,1001082172,,,,,,,In Service,,,Surrey,,,,,,,,,20090212,20160120,49.204621,-122.884828
0,Railway Crossing,1000959790,,,,SRBC @ SCOTT RD,,,In Service,,,,,"SURREY 100%, OTHER 0%: JUNIOR",,,,,,,20081203,20190319,49.201670,-122.879751
0,Railway Crossing,1002017530,,,,130 Street,,,,,,Surrey,,,,,,,,,20180510,20180510,49.149463,-122.862259
0,Railway Crossing,1001417970,,,,CNR @ 132 ST,,,In Service,,,Surrey,,MAINT UNKNOWN,,,,,,,20120710,20160120,49.214096,-122.855814
0,Railway Crossing,1001855130,,,,BCR @ KING GEORGE BLVD,,,In Service,,,Surrey,,,,,,,,,20160121,20190319,49.097574,-122.818255
0,Railway Crossing,1001417959,,,,BCR @ 160 ST,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%: SENIOR",,,,,,,20120710,20190319,49.099860,-122.779018
0,Railway Crossing,1001417948,,,,CPR @ 184 ST,,,In Service,,,Surrey,,MAINT % UNKNOWN: JUNIOR,,,,,,,20120710,20190319,49.096995,-122.712778
0,Railway Crossing,1001143943,,,,,,,In Service,,,Translink,,,Final AB,,,,,,20091216,20160122,49.181350,-122.690295
0,Railway Crossing,1000959792,,,,SRBC @ 104 AVE,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%: JUNIOR",,,,,,,20081203,20190319,49.191838,-122.877885
0,Railway Crossing,1000959787,,,,BNR @ OLD YALE RD,,,In Service,,,,,TRESTLE OVERHEAD,,,,,,,20081203,20190319,49.202040,-122.888195
0,Railway Crossing,1000959775,,,,CNR @ MUSQEUM TRESTLE,,,In Service,,,Surrey,,TRESTLE OVERHEAD,,,,,,,20081203,20160120,49.206385,-122.886077
0,Railway Crossing,1000959789,,,,SRBC @ BRIDGE RD,,,In Service,,,Surrey,,MAINT UNKNOWN: JUNIOR,,,,,,,20081203,20160120,49.204203,-122.885282
0,Railway Crossing,1001417707,,,,,,,In Service,,,Surrey,,,,,,,,,20120706,20160122,49.094032,-122.869610
0,Railway Crossing,1001855133,,,,SRBC @ 176 ST,,,Abandoned,,,Surrey,,,,,,,,,20160121,20190319,49.103803,-122.734958
0,Railway Crossing,1001859659,,,,CNR @ 182A ST,,,In Service,,,Surrey,,,,,,,,,20160216,20190319,49.183170,-122.716929
0,Railway Crossing,1001417971,,,,CNR @ 179 ST,,,In Service,,,Surrey,,"SURREY 50%, OTHER 50%: JUNIOR",,,,,,,20120710,20190319,49.186669,-122.724768
0,Railway Crossing,1001417953,,,,CPR @ 54 AVE,,,In Service,,,Surrey,,"SURREY 100%, OTHER 0%",,,,,,,20120710,20190319,49.100612,-122.686213
0,Railway Crossing,1001417960,,,,CPR @ TELEGRAPH TRAIL,,,In Service,,,Surrey,,"SURREY 50%, OTHER 50%",,,,,,,20120710,20190319,49.182037,-122.679351
0,Railway Crossing,1001855131,,,,BNR @ WEST OF SFPR,,,In Service,,,Private,,,,,,,,,20160121,20190319,49.178083,-122.912829
0,Railway Crossing,1000959795,,,,SRBC @ 120 ST,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%:SENIOR",,,,,,,20081203,20190319,49.182614,-122.890102
0,Railway Crossing,1001417697,,,,SRBC @ 128 ST,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%: SENIOR",,,,,,,20120706,20190319,49.150386,-122.867980
0,Railway Crossing,1001417969,,,,CPR @ 130 ST,,,In Service,,,Surrey,,MAINT UNKNOWN,,,,,,,20120710,20160120,49.215541,-122.861814
0,Railway Crossing,1001417951,,,,CPR @ 148 ST,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%: SENIOR",,,,,,,20120710,20190319,49.097914,-122.812420
0,Railway Crossing,1001193917,,,,SRBC @ 64 AVE,,,In Service,,,Surrey,,SURREY 100%: JUNIOR,,,,,,,20110329,20190319,49.119118,-122.810875
0,Railway Crossing,1001417705,,,,SRBC @ 156 ST,,,Abandoned,,,Surrey,,,,,,,,,20120706,20190319,49.114325,-122.789857
0,Railway Crossing,1001855129,,,,CNR @ 104 AVE,,,In Service,,,Surrey,,,,,,,,,20160121,20190319,49.191452,-122.733469
0,Railway Crossing,1001417954,,,,CNR @ ROBSON RD,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%",,,,,,,20120710,20190319,49.178561,-122.912991
0,Railway Crossing,1001417965,,,,BNR @ MCBRIDE DR,,,In Service,,,Surrey,,"SURREY 50%, BNR 50%: JUNIOR",,,,,,,20120710,20190319,49.049908,-122.882861
0,Railway Crossing,1001417957,,,,SRBC @ 90 AVE,,,In Service,,,Surrey,,,,,,,,,20120710,20190319,49.166825,-122.889832
0,Railway Crossing,1001855373,,,,SRBC @ 120 ST,,,In Service,,,Surrey,,,,,,,,,20160122,20190319,49.182517,-122.890200
0,Railway Crossing,1000959782,,,,BNR @ TANNERY RD,,,In Service,,,Surrey,,"SURREY 50%, OTHER 50%: SENIOR",,,,,,,20081203,20190319,49.196558,-122.893830
0,Railway Crossing,1001082171,,,,,,,In Service,,,Surrey,,JUNIOR,,,,,,,20090212,20160120,49.202411,-122.888941
0,Railway Crossing,1001417950,,,,CNR @ 124 ST,,,In Service,,,Surrey,,MAINT UNKNOWN: JUNIOR,,,,,,,20120710,20160120,49.212736,-122.878150
0,Railway Crossing,1001417711,,,,BCR @ 131A ST,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%: SENIOR",,,,,,,20120706,20190502,49.094957,-122.857850
0,Railway Crossing,1001417698,,,,SRBC @ 138 ST,,,In Service,,,Surrey,,SURREY 100%: SENIOR,,,,,,,20120706,20190319,49.127159,-122.840462
0,Railway Crossing,1001417700,,,,SRBC @ 144 ST,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%: SENIOR",,,,,,,20120706,20190319,49.124249,-122.823305
0,Railway Crossing,1001417962,,,,BCR @ 164 ST,,,In Service,,,Surrey,,"SURREY 0%, OTHER 100%: SENIOR",,,,,,,20120710,20190319,49.100495,-122.767726
0,Railway Crossing,1001417837,,,,SRBC @ 168 ST,,,In Service,,,Surrey,,"SURREY 34%, OTHER 66%: SENIOR",,,,,,,20120710,20190319,49.104004,-122.756624
0,Railway Crossing,1000959778,,,,CNR @ TANNERY RD,,,In Service,,,Surrey,,"SURRY 50%, OTHER 50%: SENIOR",,,,,,,20081203,20190319,49.196800,-122.894309
0,Railway Crossing,1001417958,,,,,,,In Service,,,Surrey,,,,,,,,,20120710,20160122,49.093330,-122.884763
